1024_mb_x_16384_kb,1024_mb_x_2048_kb,1024_mb_x_4096_kb,1024_mb_x_512_kb,1024_mb_x_8192_kb,128_mb_x_16384_kb,128_mb_x_2048_kb,128_mb_x_4096_kb,128_mb_x_512_kb,128_mb_x_8192_kb,2048_mb_x_16384_kb,2048_mb_x_2048_kb,2048_mb_x_4096_kb,2048_mb_x_512_kb,2048_mb_x_8192_kb,256_mb_x_16384_kb,256_mb_x_2048_kb,256_mb_x_4096_kb,256_mb_x_512_kb,256_mb_x_8192_kb,512_mb_x_16384_kb,512_mb_x_2048_kb,512_mb_x_4096_kb,512_mb_x_512_kb,512_mb_x_8192_kb,warm-1024,warm-128,warm-2048,warm-256,warm-512
83.9,98.9,94,61.1,80.7,243.9,128.4,148.5,100.9,113.8,50.4,60.4,88.6,104,88.7,69,59.8,114.9,70.9,76.8,85.7,58.7,64.3,50.1,47.5,36.25,31,68.65,24.45,
74.5,77.5,74.7,76.1,108.5,224.4,154.2,123.1,132.4,120.7,80.8,101.3,84.8,137.8,159.8,84.7,73.4,111.6,63.1,97.4,91.7,72.7,55.8,56.5,71.8,29.55,30.45,68.8,30.65,
74.3,67.4,83,79.1,103.8,230.7,115.5,164.2,130.4,102.9,71.7,104.3,87.5,135.7,110.5,94.8,73.1,89.9,62,84.4,107.5,61.1,61.3,54.7,84.4,30.85,36.15,61.35,19.1,
103.4,73.4,68.5,83.4,92.1,198.3,49.1,219.6,167.4,128.6,82.5,123.3,112.9,146.9,126.5,90.7,84.2,113.8,72.4,89.9,81.4,62.8,73.4,56.3,69.7,32.4,38.45,57.2,34.15,
90,74.7,96,70.7,87.8,175.9,218,119.3,156.1,126.5,77.9,23.2,77.6,151.4,124.1,95.7,71.5,127.9,76.2,84.8,70.9,56.8,61.7,73.2,67.9,53.7,43.65,51.95,36.65,
80.6,84.4,87.3,88.6,96.6,155.1,166.1,119.6,113.7,113.3,76.1,128.2,104.4,173.6,142.8,95.9,75.6,98.1,66.4,112.7,90.6,53.9,68,67.6,73,60.1,48.55,77.8,60.35,
69.3,75.7,89.2,92.8,95.5,185.7,155.7,147.6,212.4,117.5,73.4,83.3,93.5,181,150.2,92.2,96.9,101,63.5,104.2,107.4,46.5,59.6,60.2,73.4,78.25,47.75,64.35,39.85,
89.4,75.4,85.7,83.2,80.1,179.3,128.5,64.2,213.2,116.7,72.4,120,91.1,73,117.6,78,108,96.5,68.8,114.1,74,64.7,64.3,48.4,72.1,79,60.1,51.75,82.05,
98.7,71.8,94.6,72.1,91.9,160.1,86.4,266.4,251.09,111.1,90,87.1,146.3,211.5,165.9,103,84.9,111,76.7,104.1,91.1,83.7,73.1,70.4,63.8,81.45,61.55,108.1,83.55,
88,73.4,98.7,86.7,102.9,107.8,171.8,118.9,183.91,129.4,70.6,85.5,129.5,93.9,147.7,120.5,104.1,109.4,98.3,108.8,98.1,69.2,62.8,80.6,78,73.1,73.9,82.6,85.4,
96,64.5,87.9,93.7,102.3,115,49.3,129.9,96.9,121.8,141.2,61.9,138.2,136.7,131.1,120.7,102.8,98.4,74,144.2,86.1,58.6,63.3,66.9,71.5,68.3,72.95,77.4,86.65,
115.2,76.1,87.9,89.1,109.3,124.3,139.6,39.8,228.6,133.5,97.9,69.6,56.6,74,92.6,110.5,121.1,80.8,71.1,122.8,91.7,69.4,79.5,53.6,65.8,91.45,70.8,62.1,86.65,
95.7,96.5,89.7,75.1,116.2,106.6,127.8,146.1,144.2,130.5,103.6,94.1,123.6,63.8,108.3,108,94.7,93.9,101.3,101.1,99.9,79,81.8,50.4,66.7,96.35,92.15,82.7,81.6,
